nombre,url,formato,logo,estado,categoria
Universal Cinema,https://thundernet.streampool.net/10323/live/hls/universalcinema/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/29/40/08a5-699a-4272-bf00-fffd13903c5e.png,1,Películas
Universal Comedy,https://thundernet.streampool.net/10323/live/hls/universalcomedy/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/30/2c/0658-ce8a-4df4-ac51-4c996b190745.png,1,Películas
Universal Crime,https://thundernet.streampool.net/10323/live/hls/universalcrime/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/6b/f4/d405-9696-4283-b5f8-1b67261e9139.png,1,Películas
Universal Reality,https://thundernet.streampool.net/10323/live/hls/universalreality/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/0f/6d/508e-bed2-4a38-bff2-5018543dc1bd.png,1,Películas
HBO,https://thundernet.streampool.net/10323/live/hls/hbo/playlist.m3u8,m3u8,,1,Películas
HBO2,https://thundernet.streampool.net/10323/live/hls/hbo/playlist.m3u8,m3u8,,1,Películas
HBO Family,https://thundernet.streampool.net/10323/live/hls/hbofamily/playlist.m3u8,m3u8,,1,Películas
HBO Plus,https://thundernet.streampool.net/10323/live/hls/hboplus/playlist.m3u8,m3u8,,1,Películas
HBO Xtreme,https://thundernet.streampool.net/10323/live/hls/hboxtreme/playlist.m3u8,m3u8,,1,Películas
HBO POP,https://thundernet.streampool.net/10323/live/hls/hbopop/playlist.m3u8,m3u8,,1,Películas
HBO Signature,https://thundernet.streampool.net/10323/live/hls/hbosignature/playlist.m3u8,m3u8,,1,Películas
1Baseball Network,https://thundernet.streampool.net/10323/live/hls/onebaseballnetwork/playlist.m3u8,m3u8,,1,Deportes
